chisel,steel tool for shaping materials
derivative,unoriginal; obtained from another source
perish,be destroyed decay
redeem,get back by payment compensate
abscond,to go away suddenly (to avoid arrest)
ascend,go or come up
ambiguous,doubtful; uncertain
steeply,rising or falling sharply
ameliorate,improve; make better
invincible,too strong to be defeated
dupe,cheat make a fool of
jabber,talk excitedly; utter rapidly
apartheid,brutal racial discrimination
edify,instruct; correct morally
shallow,little depth; not earnest
vivacious,lively high-spirited
paradigm,a model example or pattern
philanthropist,one who loves mankind
knit,draw together; unite firmly
loll,rest to sit or stand in a lazy way hang (dog's tongue)
encapsulate,enclose in capsule
heterogeneous,made up of different kinds
asterisk,the mark * (e.g.. omitted letters)
treacherous,not to be trusted, perfidious"
brittle,easily broken
liberality,free giving; generosity
timid,shy easily frightened
succumb,yield, die"
turmoil,trouble disturbance
malleable,yielding easily shaped; moldable; adapting
suffocate,cause or have difficulty in breathing
impromptu,without preparation
disallow,refuse to allow or accept as a correct
endeavor,to make an effort, to try very hard"
mischievous,harmful; causing mischief
premature,doing or happening something before the right time
luminary,star; light-giving body
unscathed,unharmed unhurt
resuscitation,coming back to consciousness
bogus,sham; counterfeit; not genuine
gallant,brave,behaves well with women"
scent,smell (especially pleasant)
poseur,a person who attempts to impress by acting unlike himself
precursors,a person or thing that precedes, as in a process or job."
massacre,cruel killing of a large number of people
yarn,tale story fibers for knitting
concur,agree in opinion happen together
extinct,no longer active
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
eulogy,formal praise panegyric
presentiment,anticipatory fear; premonition
renowned,celebrated; famous
predominate,have more power than others
euphoria,elation state of pleasant excitement
yeoman,man owning small estate; middle-class farmer
foolproof,incapable of failure or error
immutable,that cannot be changed
parenthesis,sentence within another one something separated
enzyme,catalyst
offhand,Without preparation or forethought
braggart,boastful
negligent,taking too little care
moderation,quality of being limited; not extreme
extinguish,end the existence of/wipe or put out
indigenous,native
torque,twisting force causing rotation
judicious,sound in judgment; wise
warrant,authority written order guarantee
sanity,health of mind soundness of judgment
pertain,belong as a part have reference
fidelity,loyalty accuracy
adulteration,making unpure; poorer in quality
meticulous,giving great attention to details
acumen,Keen, quick, accurate insight or judgment"
mite,A very small amount, portion, or particle"
rejuvenation,becoming young in nature or appearance
endorse,write one's name on the back of
infuriate,fill with fury or rage
correlate,have a mutual relation
alleviate,make (pain) easier to bear
adorn,add beauty; decorate
sawdust,tiny bits of wood
sluggard,lazy slow-moving person
vigorous,strong energetic
retrospective,Looking back on past
complaisant,trying to please; obliging
ambivalent,having both of two contrary meanings
audacious,Bold
clot,half-solid lump formed from liquid
apt,well-suited; quick-witted
limp,lacking strength; walking unevenly
skit,short piece of humorous writing
garrulous,too talkative
constrict,make tight or smaller
abstruse,difficult to comprehend; obscure
suffice,be enough
beguile,mislead or delude; cheat; pass time
colloquial,involving or using conversation.
dwarf,person much smaller the usual size
enduring,lasting
combustion,process of burning
sadistic,Cruel
retrograde,receding
edible,fit to be eaten/not poisonous
lampoon,publicly mock or ridicule
engulf,swallow up
stride,walk with long steps
indistinct,not easily heard; seen clearly marked
articulate,speak distinctly; connect by joints
submerge,put under water liquid sink out of sight
sanction,approval (by authority) penalty
incongruous,out of place; not in harmony or agreement
allegiance,duty support loyalty
clientele,customers
fragrant,sweet-smelling
ingest,take in by swallowing
flimsy,lacking solidarity, strength"
gait,a manner of walking, stepping, or running"
alloy,to debase by mixing with something inferior
sophisticated,complex; subtle; refined
stray,wander lose one's way
indulgent,inclined to indulge
affable,polite and friendly
scribble,write hastily
pivotal,of great importance (others depend on it)
commuter,person who travels regularly
hypocrisy,falsely making oneself appear to be good
buoyant,able to float; light-hearted
abide,be faithful; to endure
gullible,easily gulled
evoke,call up bring out
strive,to make great efforts, to struggle"
coagulation,change to a thick and solid state
acclaimed,welcomed with shouts and approval
extralegal,outside the law
erratic,irregular in behaviour or opinion
cordial,warm and sincere
odor,smell
moribund,in a dying state; near death
tadpole,form of a frog when it leaves the egg
grievous,causing grief or pain; serious dire grave
eradicate,get rid of pull up by the roots
sheath,cover for the blade of a weapon or a tool
centurion,leader of a unit of 100 soldiers
amalgamate,mix; combine; unite societies
dote,show much fondness center one's attention
appease,make quiet or calm
sponge,porous rubber for washing live at once expense
inclined,directing the mind in a certain direction
dangle,hand or swing loosely
ail,to cause pain, uneasiness, or trouble to."
dormant,in a state of inactivity but awaiting development
disproof,proof to the contrary
writ,written order
misanthrope,person who hates mankind
dislodge,move force from the place occupied
sequence,succession connected line of
woo,try to win
entice,attract, lure"
arrogance,proud; superior manner of behaviour
abysmal,extreme bad
fleet,number of ships; quick-moving
misogynist,one who hates women/females
aberration,straying away from what is normal
connoisseur,a person with good judgement (e.g.. in art)
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
pest,destructive thing or a person who is nuisance
benefactor,person who has given help
nihilism,total rejection of all religious and moral beliefs
eloquence,fluent speaking skillful use of language
reiterate,say or do again several times
catalyst,substance that causes speeding up
plea,request
opaqueness,dullness/not allowing light to pass through
enigma,something that is puzzling
implosion,collapse; bursting inward
fission,splitting or division (esp. of cells)
refine,make or become pure cultural
narcissism,Self-love
commemorate,keep the memory of
ambidextrous,able to use the left hand or the right equally well
tractable,easily controlled or guided
fragile,easily injured broken or destroyed
cumbersome,burdensome; heavy and awkward to carry
repel,refuse to accept/cause dislike
Lambaste,attack verbally
arcane,known or understood by very few
pluck,pull the feathers off pick (e.g.. flowers)
pilferer,to steal, especially in small quantities"
reconcile,settle a quarrel restore peace
shard,A piece of broken pottery
curriculum,course of study
chortle,loud chuckle of pleasure or amusement
recuperate,become strong after illness loss exhaustion
mesmerize,hypnotize
shunned,avoided, kept away from"
agile,active; quick-moving
grumble,to complain
surcharge,additional load/charge
turbulence,being uncontrollably violent
hospitable,liking to give hospitality
legacy,Bequest or inheritance
solvent,of the power of forming a solution
anguish,severe suffering
cryptic,secret with a hidden meaning
aggravate,make worse; irritate
riddle,puzzling person or thing
foster,nurture; care for
repulsive,causing a feeling of disgust
conjoin,to join together
impede,hinder; get in the way of
auxiliary,helping; supporting
equilibrium,state of being balanced
animosity,strong dislike
accolade,praise; approval
defer,postpone
spear,weapon with a metal point on a long shaft
brass,yellow metal (mixing copper and zinc)
somersault,rolling backward or forward (not sideways) movement
volatile,changeable inconstant fickle unstable explosive
boisterous,noisy; restraint
livid,Furiously angry, enraged"
salvage,the saving of property from loss
implicit,implied though; not plainly expressed
gerontocracy,government ruled by old people
recitals,a number of performance of music
connote,Suggest or imply in addition to the precise, literal meaning"
partisan,one-sided committed to a party biased or prejudiced
affinity,close connection; relationship
dullard,a stupid, insensitive person"
introvert,one who turns towards himself
bewilder,puzzle; confuse
perjury,willful FALSE statement unlawful act
renovate,restore something to better condition
reminiscent,suggest something in the past
patron,regular customer person who gives support
disrobe,undress
calipers,metal supports attached to the legs measuring instrument
malevolent,malicious; evil; having or showing ill will
divergence,getting farther apart from a point
permeate,spread into every part of
forgery,counterfeit
sporadic,happening from time to time
superimpose,put something on the top
dexterity,skill (esp. in handling)
drowsiness,feeling sleepy half asleep
sobriety,quality or condition of being sober
flop,fail/move/fall clumsily
evasive,tending to evade
ossified,turned to bone; hardened like bone; Inflexible
satiate,satisfy fully
weigh,measure how heavy something is
introspection,examining one's own thoughts and feelings
tonic,something giving strength or energy
relapse,fall back again
antidote,medicine used against a poison or a disease
conceal,hide keep secret
impermeable,that cannot be permeated
embezzle,use in a wrong way for one's own benefit
abhor,to hate; to detest
console,give comfort or sympathy to
elaborate,worked out with much care in great detail
